Job_ID,Job_Title,Skills,date_posted
33,UX Designer,"Data Analysis, Agile, React",11-07-2026
34,Software Engineer,"Data Analysis, PyTorch, Big Data, AWS",11-07-2026
35,Data Scientist,"Agile, SQL, CSS, Scrum, Machine Learning",11-07-2026
36,Database Administrator,"Kubernetes, Docker, GCP",11-07-2026
37,UX Designer,"AWS, SQL, C#, HTML",11-07-2026
38,Product Manager,"C#, Angular, React, Scrum",11-07-2026
39,Web Developer,"Hadoop, Kubernetes, JavaScript",11-07-2026
40,Product Manager,"Hadoop, AWS, Docker",11-07-2026
41,Cybersecurity Analyst,"Machine Learning, Big Data, Python, Cybersecurity, JavaScript, Flask",14-07-2026
42,Product Manager,"TensorFlow, Django, Deep Learning, C++, Machine Learning, Penetration Testing",14-07-2026
43,Product Manager,"AWS, CSS, Angular",14-07-2026
44,UX Designer,"SQL, Java, Agile, Flask",14-07-2026
45,Software Engineer,"Django, AWS, Hadoop",14-07-2026
46,Data Scientist,"CSS, C++, Java, React, Angular, Scrum",14-07-2026
47,Data Scientist,"Django, React, GCP, TensorFlow, C#",14-07-2026
48,DevOps Engineer,"Azure, Angular, Flask",14-07-2026
49,Product Manager,"C++, CSS, Scrum",14-07-2026
50,UX Designer,"React, Django, Big Data, Java, AWS",14-07-2026
51,Product Manager,"Data Analysis, Deep Learning, Flask",14-07-2026
52,DevOps Engineer,"Agile, TensorFlow, Big Data, Angular, Cybersecurity, Azure",14-07-2026
53,Cloud Architect,"AWS, HTML, Agile",15-07-2026
54,Cloud Architect,"GCP, HTML, AWS, Python, C#, Node.js",15-07-2026
55,Data Scientist,"C#, AWS, Data Analysis, JavaScript, C++",15-07-2026
56,Data Scientist,"Django, HTML, Deep Learning, Machine Learning, C#",15-07-2026
57,Software Engineer,"Docker, PyTorch, Machine Learning, Node.js",15-07-2026
58,Cybersecurity Analyst,"Kubernetes, Machine Learning, GCP, Scrum, Angular, Flask",15-07-2026
59,Product Manager,"C#, C++, Deep Learning, TensorFlow, Angular, Penetration Testing",15-07-2026
60,UX Designer,"AWS, JavaScript, PyTorch, GCP, Scrum",16-07-2026
61,Web Developer,"TensorFlow, PyTorch, SQL, C++, GCP",17-07-2026
62,Cloud Architect,"Machine Learning, PyTorch, Deep Learning, Hadoop, Python, C++",17-07-2026
63,Software Engineer,"JavaScript, Data Analysis, AWS, Hadoop, Kubernetes",17-07-2026
64,Web Developer,"Python, Azure, GCP, Docker, Django, C#",17-07-2026
65,Software Engineer,"JavaScript, Big Data, React, Docker, Flask",18-07-2026
66,AI Researcher,"Angular, Azure, Deep Learning, Agile, TensorFlow, Kubernetes",18-07-2026
67,Database Administrator,"Flask, Node.js, Agile, Data Analysis, Hadoop, React",18-07-2026
68,Cloud Architect,"Django, Cybersecurity, Flask, CSS, TensorFlow, Deep Learning",18-07-2026
69,Product Manager,"Kubernetes, Penetration Testing, Hadoop, C++, Big Data",19-07-2026
70,Software Engineer,"Flask, Java, TensorFlow, Angular, Node.js",19-07-2026
71,AI Researcher,"Angular, Deep Learning, SQL, Azure",19-07-2026
72,Database Administrator,"Java, Hadoop, Python, TensorFlow, Deep Learning, C#",19-07-2026
73,Cybersecurity Analyst,"Docker, Java, Scrum",20-07-2026
74,Cybersecurity Analyst,"JavaScript, GCP, Node.js, Flask",20-07-2026
75,UX Designer,"Azure, CSS, C++, Django, Docker, Angular",21-07-2026
76,Database Administrator,"PyTorch, Hadoop, HTML, Java",21-07-2026
77,Data Scientist,"Deep Learning, PyTorch, HTML, Scrum, CSS, React",21-07-2026
78,Data Scientist,"AWS, JavaScript, Big Data, Machine Learning",21-07-2026
79,DevOps Engineer,"Node.js, Deep Learning, Kubernetes, Scrum, Python, TensorFlow",21-07-2026
80,Data Scientist,"React, JavaScript, SQL, Java, Kubernetes, C#",21-07-2026
81,Cybersecurity Analyst,"Java, Scrum, React, Python, C#, Kubernetes",21-07-2026
82,Web Developer,"TensorFlow, Flask, Kubernetes, Machine Learning, Azure, Hadoop",21-07-2026
83,Data Scientist,"Penetration Testing, Flask, Scrum, Node.js, Deep Learning",23-07-2026
84,DevOps Engineer,"Data Analysis, HTML, JavaScript",23-07-2026
85,Web Developer,"Node.js, Kubernetes, Angular, Big Data, AWS",23-07-2026
86,Cybersecurity Analyst,"C#, HTML, Data Analysis, Docker, Cybersecurity, CSS",23-07-2026
87,Cybersecurity Analyst,"Deep Learning, C#, Kubernetes, Java, Hadoop",23-07-2026
88,DevOps Engineer,"JavaScript, Java, Big Data, PyTorch, SQL",23-07-2026
89,Product Manager,"Kubernetes, Agile, TensorFlow",23-07-2026
90,Data Scientist,"Scrum, GCP, Deep Learning, SQL, AWS",24-07-2026
91,Database Administrator,"SQL, HTML, TensorFlow",25-07-2026
92,UX Designer,"AWS, Deep Learning, Big Data",25-07-2026
93,Cybersecurity Analyst,"HTML, Penetration Testing, React, Python",25-07-2026
94,Data Scientist,"PyTorch, Django, Docker, React, HTML, Python",25-07-2026
95,UX Designer,"Python, Data Analysis, PyTorch",25-07-2026
96,Product Manager,"C++, Kubernetes, Agile, Angular, Deep Learning, Hadoop",25-07-2026
97,Database Administrator,"Java, Hadoop, Django, AWS, HTML",27-07-2026
98,Web Developer,"Java, Azure, Python, PyTorch, Kubernetes, React",27-07-2026
99,Cybersecurity Analyst,"Machine Learning, PyTorch, C++",27-07-2026
100,UX Designer,"Kubernetes, GCP, Deep Learning",27-07-2026
101,DevOps Engineer,"Penetration Testing, Azure, CSS, Deep Learning, Java",27-07-2026
102,Data Scientist,"Azure, Deep Learning, Penetration Testing",27-07-2026
103,UX Designer,"Agile, Azure, React",28-07-2026
104,Product Manager,"Machine Learning, Flask, AWS",28-07-2026
105,AI Researcher,"Java, GCP, Cybersecurity, C#, Docker, CSS",28-07-2026
106,Product Manager,"React, Deep Learning, Angular",28-07-2026
107,DevOps Engineer,"Docker, Deep Learning, HTML, Scrum, TensorFlow",28-07-2026
108,Web Developer,"Machine Learning, Kubernetes, Cybersecurity, Python, Java, GCP",28-07-2026
109,Product Manager,"Azure, Scrum, Flask, TensorFlow, Angular",29-07-2026
110,Cloud Architect,"SQL, Python, Deep Learning, Big Data, Hadoop",29-07-2026
111,Data Scientist,"TensorFlow, Django, Machine Learning, Azure, Hadoop, Cybersecurity",29-07-2026
112,AI Researcher,"Angular, PyTorch, Azure",29-07-2026
113,Software Engineer,"Azure, Django, Kubernetes",29-07-2026
114,UX Designer,"HTML, C++, CSS, Java, Hadoop, Docker",29-07-2026
115,UX Designer,"Hadoop, JavaScript, Node.js, SQL, Agile, Big Data",30-07-2026
116,Cybersecurity Analyst,"Java, Penetration Testing, Agile, Scrum",30-07-2026
117,DevOps Engineer,"Angular, Machine Learning, Scrum, CSS, C++",30-07-2026
118,AI Researcher,"Deep Learning, C#, Penetration Testing",30-07-2026
119,Cybersecurity Analyst,"Angular, Hadoop, GCP, Node.js, Java, Agile",30-07-2026
120,Software Engineer,"PyTorch, Agile, GCP, C++, TensorFlow, Java",30-07-2026
121,AI Researcher,"Cybersecurity, GCP, Penetration Testing",30-07-2026
122,Software Engineer,"Node.js, Machine Learning, Agile, Big Data",30-07-2026
123,DevOps Engineer,"Hadoop, JavaScript, Cybersecurity, React, Big Data",30-07-2026
124,Cloud Architect,"Big Data, Scrum, CSS, Node.js",30-07-2026
125,Data Scientist,"Hadoop, Node.js, Scrum, PyTorch",30-07-2026
126,Software Engineer,"Azure, Docker, Angular",30-07-2026
127,Web Developer,"JavaScript, SQL, Penetration Testing",31-07-2026
128,Cybersecurity Analyst,"GCP, JavaScript, CSS, Java, HTML",31-07-2026
129,DevOps Engineer,"Docker, Scrum, CSS, Big Data",31-07-2026
130,UX Designer,"Java, Scrum, TensorFlow, Angular, Hadoop",31-07-2026
131,AI Researcher,"Python, Hadoop, Node.js, Agile, Django",31-07-2026
132,Cybersecurity Analyst,"AWS, TensorFlow, Java, HTML, Docker, Big Data",31-07-2026
133,Database Administrator,"Scrum, Kubernetes, Agile, Node.js",31-07-2026
134,Product Manager,"Machine Learning, Cybersecurity, Angular, GCP",31-07-2026
135,Software Engineer,"Penetration Testing, Docker, C++, Kubernetes",31-07-2026
136,Cybersecurity Analyst,"PyTorch, Cybersecurity, Python, Big Data",31-07-2026
137,Cloud Architect,"Agile, Flask, SQL, Kubernetes",31-07-2026
138,Product Manager,"JavaScript, C#, Kubernetes, AWS, Django",31-07-2026
139,Product Manager,"Penetration Testing, Java, Node.js, JavaScript",31-07-2026
140,Software Engineer,"GCP, CSS, Node.js, Java",31-07-2026
141,Software Engineer,"Django, Flask, TensorFlow, Java",31-07-2026
142,Software Engineer,"Azure, Flask, Java, SQL",01-08-2026
143,Product Manager,"Azure, Scrum, Java",01-08-2026
144,AI Researcher,"GCP, Azure, PyTorch, CSS",01-08-2026
145,AI Researcher,"Big Data, C#, Scrum, JavaScript, Deep Learning, Azure",01-08-2026
146,Cybersecurity Analyst,"PyTorch, C#, SQL",01-08-2026
147,Database Administrator,"GCP, Kubernetes, C++, Azure, Agile",01-08-2026
148,Database Administrator,"Angular, Cybersecurity, Penetration Testing, AWS, Docker",01-08-2026
149,AI Researcher,"TensorFlow, Big Data, Angular, Deep Learning, Python, GCP",01-08-2026
150,Software Engineer,"JavaScript, SQL, AWS, Data Analysis",01-08-2026
151,Database Administrator,"AWS, Docker, React",01-08-2026
152,Cybersecurity Analyst,"Hadoop, CSS, PyTorch, Deep Learning",02-08-2026
153,AI Researcher,"Data Analysis, C++, SQL",02-08-2026
154,Product Manager,"JavaScript, Cybersecurity, AWS",02-08-2026
155,Cybersecurity Analyst,"Java, Azure, Penetration Testing, GCP, HTML",02-08-2026
156,AI Researcher,"GCP, Agile, Big Data, CSS",02-08-2026
157,Product Manager,"Docker, Scrum, Kubernetes, Angular, Python, Hadoop",02-08-2026
158,Cybersecurity Analyst,"Agile, C++, HTML, Django, Data Analysis",02-08-2026
159,Database Administrator,"AWS, Hadoop, Angular, PyTorch, Scrum, Azure",03-08-2026
160,Cybersecurity Analyst,"C++, CSS, Hadoop, GCP, Kubernetes",03-08-2026
161,Cybersecurity Analyst,"Scrum, Big Data, Data Analysis, Docker",03-08-2026
162,Cybersecurity Analyst,"SQL, JavaScript, Azure, GCP, Cybersecurity",03-08-2026
163,Web Developer,"React, HTML, C#, Penetration Testing, Python",03-08-2026
164,Data Scientist,"Big Data, React, HTML, SQL",03-08-2026
165,Software Engineer,"Java, React, TensorFlow, GCP",03-08-2026
166,UX Designer,"SQL, Penetration Testing, GCP, Node.js, Angular, Flask",03-08-2026
167,Web Developer,"Django, Node.js, CSS, TensorFlow, SQL",03-08-2026
168,Product Manager,"Python, AWS, Agile",04-08-2026
169,Software Engineer,"Cybersecurity, Azure, Django, Big Data",04-08-2026
170,Cloud Architect,"AWS, Azure, Cybersecurity, React",04-08-2026
171,Database Administrator,"React, HTML, Big Data, AWS",04-08-2026
172,Web Developer,"Deep Learning, TensorFlow, Penetration Testing, Azure, Java",04-08-2026
173,Software Engineer,"TensorFlow, PyTorch, Data Analysis, C#, Azure, Hadoop",04-08-2026
174,Cybersecurity Analyst,"HTML, Django, Scrum",04-08-2026
175,DevOps Engineer,"Angular, Python, Cybersecurity, Penetration Testing",05-08-2026
176,Data Scientist,"C++, Hadoop, PyTorch, GCP, Kubernetes, SQL",05-08-2026
177,AI Researcher,"AWS, Big Data, Python, JavaScript, Agile, Data Analysis",05-08-2026
178,Software Engineer,"Big Data, Data Analysis, Azure",05-08-2026
179,Web Developer,"Machine Learning, Python, C#",05-08-2026
180,Web Developer,"AWS, HTML, Scrum, React, Python, Angular",05-08-2026
181,Database Administrator,"GCP, Python, Node.js",05-08-2026
182,Database Administrator,"JavaScript, Cybersecurity, Python, React",07-08-2026
183,DevOps Engineer,"Cybersecurity, Azure, Penetration Testing, CSS",07-08-2026
184,Cybersecurity Analyst,"Python, C++, Docker",07-08-2026
185,DevOps Engineer,"C++, Hadoop, GCP, CSS, Penetration Testing, Flask",07-08-2026
186,Product Manager,"Machine Learning, Docker, Deep Learning, HTML, CSS, TensorFlow",07-08-2026
187,Product Manager,"AWS, Angular, Python",07-08-2026
188,Software Engineer,"GCP, Scrum, Java, Angular",09-08-2026
189,Web Developer,"React, SQL, CSS, Kubernetes, GCP, Hadoop",11-08-2026
190,Cybersecurity Analyst,"Deep Learning, Azure, Cybersecurity, Node.js, HTML, Angular",11-08-2026
191,Cybersecurity Analyst,"TensorFlow, Big Data, CSS, Data Analysis, Angular, Django",15-08-2026
192,Cybersecurity Analyst,"Deep Learning, C#, Java",15-08-2026
193,Cloud Architect,"GCP, Deep Learning, HTML, TensorFlow",15-08-2026
194,UX Designer,"Docker, Big Data, Machine Learning, C++, Node.js, Python",15-08-2026
195,Data Scientist,"AWS, Django, Machine Learning, C#, Agile",15-08-2026
196,Cloud Architect,"C++, JavaScript, Python",15-08-2026
197,AI Researcher,"Node.js, Penetration Testing, Hadoop",15-08-2026
198,Cloud Architect,"Kubernetes, Cybersecurity, C#, Azure, CSS, PyTorch",15-08-2026
199,Database Administrator,"React, Deep Learning, AWS",15-08-2026
200,Cybersecurity Analyst,"SQL, Cybersecurity, PyTorch, Node.js, Java, JavaScript",15-08-2026
201,Database Administrator ,"React, Deeplearning, AWS",2025-08-16
